year,state,quarter,gennme,suppression,totalRX
2019,AK,1,Hydrochlorothiazide/Valsartan,T,0
2019,AK,1,Indapamide,T,0
2019,AK,1,Irbesartan,F,15
2019,AK,1,Irbesartan,T,0
2019,AK,1,Labetalol Hydrochloride,F,183
2019,AK,1,Labetalol Hydrochloride,T,0
2019,AK,1,Lisinopril,F,6281
2019,AK,1,Lisinopril,T,0
2019,AK,1,Losartan Potassium,F,2165
2019,AK,1,Losartan Potassium,T,0
2019,AK,1,Macitentan,T,0
2019,AK,1,Methyldopa,T,0
2019,AK,1,Metolazone,T,0
2019,AK,1,Metoprolol Succinate,F,2563
2019,AK,1,Metoprolol Succinate,T,0
2019,AK,1,Metoprolol Tartrate,F,693
2019,AK,1,Metoprolol Tartrate,T,0
2019,AK,1,Minoxidil,T,0
2019,AK,1,Nadolol,F,153
2019,AK,1,Nadolol,T,0
2019,AK,1,Nebivolol Hydrochloride,F,418
2019,AK,1,Nebivolol Hydrochloride,T,0
2019,AK,1,Nifedipine,F,108
2019,AK,1,Nifedipine,T,0
2019,AK,1,Pindolol,T,0
2019,AK,1,Prazosin Hydrochloride,F,1536
2019,AK,1,Prazosin Hydrochloride,T,0
2019,AK,1,Propranolol Hydrochloride,F,1399
2019,AK,1,Propranolol Hydrochloride,T,0
2019,AK,1,Quinapril Hydrochloride,T,0
2019,AK,1,Ramipril,T,0
2019,AK,1,Sacubitril/Valsartan,F,134
2019,AK,1,Sacubitril/Valsartan,T,0
2019,AK,1,Sotalol Hydrochloride,T,0
2019,AK,1,Spironolactone,F,1200
2019,AK,1,Spironolactone,T,0
2019,AK,1,Telmisartan,F,13
2019,AK,1,Telmisartan,T,0
2019,AK,1,Tolvaptan;Tolvaptan,T,0
2019,AK,1,Torsemide,F,214
2019,AK,1,Torsemide,T,0
2019,AK,1,Trandolapril/Verapamil Hydrochloride,T,0
2019,AK,1,Valsartan,F,65
2019,AK,1,Valsartan,T,0
2019,AK,1,Verapamil Hydrochloride,F,89
2019,AK,1,Verapamil Hydrochloride,T,0
2019,AK,2,Acebutolol Hydrochloride,T,0
2019,AK,2,Aliskiren,T,0
2019,AK,2,Aliskiren/Hydrochlorothiazide,T,0
2019,AK,2,Ambrisentan,T,0
2019,AK,2,Amiloride Hydrochloride,F,20
2019,AK,2,Amiloride Hydrochloride,T,0
2019,AK,2,Amiloride Hydrochloride/Hydrochlorothiazide,T,0
2019,AK,2,Amlodipine Besylate,F,2508
2019,AK,2,Amlodipine Besylate,T,0
2019,AK,2,Amlodipine Besylate/Benazepril Hydrochloride,F,45
2019,AK,2,Amlodipine Besylate/Benazepril Hydrochloride,T,0
2019,AK,2,Amlodipine Besylate/HCTZ/Olmesartan Medoxomil,T,0
2019,AK,2,Amlodipine Besylate/Hydrochlorothiazide/Valsartan,T,0
2019,AK,2,Amlodipine Besylate/Olmesartan Medoxomil,T,0
2019,AK,2,Amlodipine Besylate/Telmisartan,T,0
2019,AK,2,Amlodipine Besylate/Valsartan,T,0
2019,AK,2,Atenolol,F,691
2019,AK,2,Atenolol,T,0
2019,AK,2,Atenolol/Chlorthalidone,T,0
2019,AK,2,Azilsartan Medoxomil/Chlorthalidone,T,0
2019,AK,2,Benazepril Hydrochloride,T,0
2019,AK,2,Benazepril Hydrochloride/Hydrochlorothiazide,T,0
2019,AK,2,Bisoprolol Fumarate,F,80
2019,AK,2,Bisoprolol Fumarate,T,0
2019,AK,2,Bisoprolol Fumarate/Hydrochlorothiazide,F,31
2019,AK,2,Bisoprolol Fumarate/Hydrochlorothiazide,T,0
2019,AK,2,Bumetanide,T,0
2019,AK,2,Candesartan Cilexetil,T,0
2019,AK,2,Candesartan Cilexetil/Hydrochlorothiazide,T,0
2019,AK,2,Captopril,T,0
2019,AK,2,Carvedilol,F,1137
2019,AK,2,Carvedilol,T,0
2019,AK,2,Carvedilol Phosphate,F,82
2019,AK,2,Carvedilol Phosphate,T,0
2019,AK,2,Chlorothiazide,T,0
2019,AK,2,Chlorthalidone,F,390
2019,AK,2,Chlorthalidone,T,0
2019,AK,2,Clonidine Hydrochloride,F,2232
2019,AK,2,Clonidine Hydrochloride,T,0
2019,AK,2,Diltiazem Hydrochloride,F,307
2019,AK,2,Diltiazem Hydrochloride,T,0
2019,AK,2,Doxazosin Mesylate,F,58
2019,AK,2,Doxazosin Mesylate,T,0
2019,AK,2,Enalapril Maleate,F,46
2019,AK,2,Enalapril Maleate,T,0
2019,AK,2,Enalapril Maleate/Hydrochlorothiazide,T,0
2019,AK,2,Eplerenone,F,53
2019,AK,2,Eplerenone,T,0
2019,AK,2,Felodipine,T,0
2019,AK,2,Fosinopril Sodium,T,0
2019,AK,2,Furosemide,F,1615
2019,AK,2,Furosemide,T,0
2019,AK,2,Guanfacine Hydrochloride,F,1922
2019,AK,2,Guanfacine Hydrochloride,T,0
2019,AK,2,Hydralazine Hydrochloride,F,129
2019,AK,2,Hydralazine Hydrochloride,T,0
2019,AK,2,Hydralazine Hydrochloride/Isosorbide Dinitrate,T,0
2019,AK,2,Hydrochlorothiazide,F,1703
2019,AK,2,Hydrochlorothiazide,T,0
2019,AK,2,Hydrochlorothiazide/Irbesartan,T,0
2019,AK,2,Hydrochlorothiazide/Lisinopril,F,590
2019,AK,2,Hydrochlorothiazide/Lisinopril,T,0
2019,AK,2,Hydrochlorothiazide/Losartan Potassium,F,107
2019,AK,2,Hydrochlorothiazide/Losartan Potassium,T,0
2019,AK,2,Hydrochlorothiazide/Metoprolol Tartrate,T,0
2019,AK,2,Hydrochlorothiazide/Spironolactone,T,0
2019,AK,2,Hydrochlorothiazide/Telmisartan,F,12
2019,AK,2,Hydrochlorothiazide/Telmisartan,T,0
2019,AK,2,Hydrochlorothiazide/Triamterene,F,162
2019,AK,2,Hydrochlorothiazide/Triamterene,T,0
2019,AK,2,Hydrochlorothiazide/Valsartan,T,0
2019,AK,2,Indapamide,T,0
2019,AK,2,Irbesartan,F,65
2019,AK,2,Irbesartan,T,0
2019,AK,2,Labetalol Hydrochloride,F,197
2019,AK,2,Labetalol Hydrochloride,T,0
2019,AK,2,Lisinopril,F,6328
2019,AK,2,Lisinopril,T,0
2019,AK,2,Losartan Potassium,F,2245
2019,AK,2,Losartan Potassium,T,0
2019,AK,2,Macitentan,T,0
2019,AK,2,Methyldopa,T,0
2019,AK,2,Metolazone,F,13
2019,AK,2,Metolazone,T,0
2019,AK,2,Metoprolol Succinate,F,2645
2019,AK,2,Metoprolol Succinate,T,0
2019,AK,2,Metoprolol Tartrate,F,787
2019,AK,2,Metoprolol Tartrate,T,0
2019,AK,2,Minoxidil,T,0
2019,AK,2,Nadolol,F,126
2019,AK,2,Nadolol,T,0
2019,AK,2,Nebivolol Hydrochloride,F,450
2019,AK,2,Nebivolol Hydrochloride,T,0
2019,AK,2,Nifedipine,F,112
2019,AK,2,Nifedipine,T,0
2019,AK,2,Prazosin Hydrochloride,F,1579
2019,AK,2,Prazosin Hydrochloride,T,0
2019,AK,2,Propranolol Hydrochloride,F,1468
2019,AK,2,Propranolol Hydrochloride,T,0
2019,AK,2,Quinapril Hydrochloride,T,0
2019,AK,2,Ramipril,T,0
2019,AK,2,Sacubitril/Valsartan,F,159
2019,AK,2,Sacubitril/Valsartan,T,0
2019,AK,2,Sotalol Hydrochloride,T,0
2019,AK,2,Spironolactone,F,1243
2019,AK,2,Spironolactone,T,0
2019,AK,2,Telmisartan,F,25
2019,AK,2,Telmisartan,T,0
2019,AK,2,Tolvaptan;Tolvaptan,T,0
2019,AK,2,Torsemide,F,284
2019,AK,2,Torsemide,T,0
2019,AK,2,Trandolapril/Verapamil Hydrochloride,T,0
2019,AK,2,Valsartan,F,89
2019,AK,2,Valsartan,T,0
2019,AK,2,Verapamil Hydrochloride,F,113
2019,AK,2,Verapamil Hydrochloride,T,0
2019,AK,3,Acebutolol Hydrochloride,F,14
2019,AK,3,Aliskiren/Hydrochlorothiazide,T,0
2019,AK,3,Ambrisentan,T,0
2019,AK,3,Amiloride Hydrochloride,F,24
2019,AK,3,Amiloride Hydrochloride,T,0
2019,AK,3,Amiloride Hydrochloride/Hydrochlorothiazide,T,0
2019,AK,3,Amlodipine Besylate,F,2345
2019,AK,3,Amlodipine Besylate,T,0
2019,AK,3,Amlodipine Besylate/Benazepril Hydrochloride,F,52
2019,AK,3,Amlodipine Besylate/Benazepril Hydrochloride,T,0
2019,AK,3,Amlodipine Besylate/HCTZ/Olmesartan Medoxomil,T,0
2019,AK,3,Amlodipine Besylate/Hydrochlorothiazide/Valsartan,T,0
2019,AK,3,Amlodipine Besylate/Olmesartan Medoxomil,T,0
2019,AK,3,Amlodipine Besylate/Telmisartan,T,0
2019,AK,3,Amlodipine Besylate/Valsartan,F,13
2019,AK,3,Amlodipine Besylate/Valsartan,T,0
2019,AK,3,Atenolol,F,647
2019,AK,3,Atenolol,T,0
2019,AK,3,Atenolol/Chlorthalidone,T,0
2019,AK,3,Azilsartan Medoxomil/Chlorthalidone,T,0
2019,AK,3,Benazepril Hydrochloride,F,13
2019,AK,3,Benazepril Hydrochloride,T,0
2019,AK,3,Benazepril Hydrochloride/Hydrochlorothiazide,T,0
2019,AK,3,Bisoprolol Fumarate,F,60
2019,AK,3,Bisoprolol Fumarate,T,0
2019,AK,3,Bisoprolol Fumarate/Hydrochlorothiazide,F,34
2019,AK,3,Bisoprolol Fumarate/Hydrochlorothiazide,T,0
2019,AK,3,Bumetanide,T,0
2019,AK,3,Candesartan Cilexetil,T,0
2019,AK,3,Candesartan Cilexetil/Hydrochlorothiazide,T,0
2019,AK,3,Captopril,T,0
2019,AK,3,Carvedilol,F,1074
2019,AK,3,Carvedilol,T,0
2019,AK,3,Carvedilol Phosphate,F,93
2019,AK,3,Carvedilol Phosphate,T,0
2019,AK,3,Chlorothiazide,T,0
2019,AK,3,Chlorthalidone,F,333
2019,AK,3,Chlorthalidone,T,0
2019,AK,3,Clonidine Hydrochloride,F,2107
2019,AK,3,Clonidine Hydrochloride,T,0
2019,AK,3,Diltiazem Hydrochloride,F,264
2019,AK,3,Diltiazem Hydrochloride,T,0
2019,AK,3,Doxazosin Mesylate,F,49
2019,AK,3,Doxazosin Mesylate,T,0
2019,AK,3,Enalapril Maleate,F,59
2019,AK,3,Enalapril Maleate,T,0
2019,AK,3,Enalapril Maleate/Hydrochlorothiazide,T,0
2019,AK,3,Eplerenone,F,29
2019,AK,3,Eplerenone,T,0
2019,AK,3,Felodipine,T,0
2019,AK,3,Fosinopril Sodium,T,0
2019,AK,3,Furosemide,F,1595
2019,AK,3,Furosemide,T,0
2019,AK,3,Guanfacine Hydrochloride,F,1764
2019,AK,3,Guanfacine Hydrochloride,T,0
2019,AK,3,Hydralazine Hydrochloride,F,94
2019,AK,3,Hydralazine Hydrochloride,T,0
2019,AK,3,Hydrochlorothiazide,F,1612
2019,AK,3,Hydrochlorothiazide,T,0
2019,AK,3,Hydrochlorothiazide/Irbesartan,T,0
2019,AK,3,Hydrochlorothiazide/Lisinopril,F,595
2019,AK,3,Hydrochlorothiazide/Lisinopril,T,0
2019,AK,3,Hydrochlorothiazide/Losartan Potassium,F,137
2019,AK,3,Hydrochlorothiazide/Losartan Potassium,T,0
2019,AK,3,Hydrochlorothiazide/Metoprolol Tartrate,T,0
2019,AK,3,Hydrochlorothiazide/Spironolactone,T,0
2019,AK,3,Hydrochlorothiazide/Telmisartan,T,0
2019,AK,3,Hydrochlorothiazide/Triamterene,F,165
2019,AK,3,Hydrochlorothiazide/Triamterene,T,0
2019,AK,3,Hydrochlorothiazide/Valsartan,T,0
2019,AK,3,Indapamide,T,0
2019,AK,3,Irbesartan,F,107
2019,AK,3,Irbesartan,T,0
2019,AK,3,Labetalol Hydrochloride,F,199
2019,AK,3,Labetalol Hydrochloride,T,0
2019,AK,3,Lisinopril,F,5965
2019,AK,3,Lisinopril,T,0
2019,AK,3,Losartan Potassium,F,2039
2019,AK,3,Losartan Potassium,T,0
2019,AK,3,Macitentan,T,0
2019,AK,3,Methyldopa,T,0
2019,AK,3,Metolazone,T,0
2019,AK,3,Metoprolol Succinate,F,2585
2019,AK,3,Metoprolol Succinate,T,0
2019,AK,3,Metoprolol Tartrate,F,722
2019,AK,3,Metoprolol Tartrate,T,0
2019,AK,3,Minoxidil,T,0
2019,AK,3,Nadolol,F,94
2019,AK,3,Nadolol,T,0
2019,AK,3,Nebivolol Hydrochloride,F,448
2019,AK,3,Nifedipine,F,142
2019,AK,3,Nifedipine,T,0
2019,AK,3,Pindolol,T,0
2019,AK,3,Prazosin Hydrochloride,F,1560
2019,AK,3,Prazosin Hydrochloride,T,0
2019,AK,3,Propranolol Hydrochloride,F,1418
2019,AK,3,Propranolol Hydrochloride,T,0
2019,AK,3,Quinapril Hydrochloride,T,0
2019,AK,3,Ramipril,T,0
2019,AK,3,Sacubitril/Valsartan,F,173
2019,AK,3,Sacubitril/Valsartan,T,0
2019,AK,3,Sotalol Hydrochloride,T,0
2019,AK,3,Spironolactone,F,1198
2019,AK,3,Spironolactone,T,0
2019,AK,3,Telmisartan,F,56
2019,AK,3,Telmisartan,T,0
2019,AK,3,Tolvaptan;Tolvaptan,T,0
2019,AK,3,Torsemide,F,302
2019,AK,3,Torsemide,T,0
2019,AK,3,Trandolapril/Verapamil Hydrochloride,T,0
2019,AK,3,Valsartan,F,84
2019,AK,3,Valsartan,T,0
2019,AK,3,Verapamil Hydrochloride,F,79
2019,AK,3,Verapamil Hydrochloride,T,0
2019,AK,4,Acebutolol Hydrochloride,F,15
2019,AK,4,Ambrisentan,T,0
2019,AK,4,Amiloride Hydrochloride,F,22
2019,AK,4,Amiloride Hydrochloride,T,0
2019,AK,4,Amiloride Hydrochloride/Hydrochlorothiazide,T,0
2019,AK,4,Amlodipine,T,0
2019,AK,4,Amlodipine Besylate,F,2352
2019,AK,4,Amlodipine Besylate,T,0
2019,AK,4,Amlodipine Besylate/Benazepril Hydrochloride,F,12
2019,AK,4,Amlodipine Besylate/Benazepril Hydrochloride,T,0
2019,AK,4,Amlodipine Besylate/HCTZ/Olmesartan Medoxomil,T,0
2019,AK,4,Amlodipine Besylate/Hydrochlorothiazide/Valsartan,T,0
2019,AK,4,Amlodipine Besylate/Olmesartan Medoxomil,T,0
2019,AK,4,Amlodipine Besylate/Telmisartan,T,0
2019,AK,4,Amlodipine Besylate/Valsartan,T,0
2019,AK,4,Atenolol,F,609
2019,AK,4,Atenolol,T,0
2019,AK,4,Atenolol/Chlorthalidone,T,0
2019,AK,4,Azilsartan Medoxomil/Chlorthalidone,T,0
2019,AK,4,Benazepril Hydrochloride,F,14
2019,AK,4,Benazepril Hydrochloride,T,0
2019,AK,4,Benazepril Hydrochloride/Hydrochlorothiazide,T,0
2019,AK,4,Bisoprolol Fumarate,F,69
2019,AK,4,Bisoprolol Fumarate,T,0
2019,AK,4,Bisoprolol Fumarate/Hydrochlorothiazide,F,23
2019,AK,4,Bisoprolol Fumarate/Hydrochlorothiazide,T,0
2019,AK,4,Bumetanide,F,14
2019,AK,4,Bumetanide,T,0
2019,AK,4,Candesartan Cilexetil,T,0
2019,AK,4,Candesartan Cilexetil/Hydrochlorothiazide,T,0
2019,AK,4,Captopril,T,0
2019,AK,4,Carvedilol,F,1044
2019,AK,4,Carvedilol,T,0
2019,AK,4,Carvedilol Phosphate,F,51
2019,AK,4,Carvedilol Phosphate,T,0
2019,AK,4,Chlorothiazide,T,0
2019,AK,4,Chlorthalidone,F,375
2019,AK,4,Chlorthalidone,T,0
2019,AK,4,Clonidine Hydrochloride,F,2185
2019,AK,4,Clonidine Hydrochloride,T,0
2019,AK,4,Diltiazem Hydrochloride,F,229
2019,AK,4,Diltiazem Hydrochloride,T,0
2019,AK,4,Doxazosin Mesylate,F,59
2019,AK,4,Doxazosin Mesylate,T,0
2019,AK,4,Enalapril Maleate,F,39
2019,AK,4,Enalapril Maleate,T,0
2019,AK,4,Enalapril Maleate/Hydrochlorothiazide,T,0
2019,AK,4,Eplerenone,F,32
2019,AK,4,Eplerenone,T,0
2019,AK,4,Felodipine,T,0
2019,AK,4,Fosinopril Sodium,T,0
2019,AK,4,Furosemide,F,1483
2019,AK,4,Furosemide,T,0
2019,AK,4,Guanfacine Hydrochloride,F,1836
2019,AK,4,Guanfacine Hydrochloride,T,0
2019,AK,4,Hydralazine Hydrochloride,F,144
2019,AK,4,Hydralazine Hydrochloride,T,0
2019,AK,4,Hydrochlorothiazide,F,1527
2019,AK,4,Hydrochlorothiazide,T,0
2019,AK,4,Hydrochlorothiazide/Irbesartan,T,0
2019,AK,4,Hydrochlorothiazide/Lisinopril,F,545
2019,AK,4,Hydrochlorothiazide/Lisinopril,T,0
2019,AK,4,Hydrochlorothiazide/Losartan Potassium,F,48
2019,AK,4,Hydrochlorothiazide/Losartan Potassium,T,0
2019,AK,4,Hydrochlorothiazide/Metoprolol Tartrate,T,0
2019,AK,4,Hydrochlorothiazide/Quinapril Hydrochloride,T,0
2019,AK,4,Hydrochlorothiazide/Spironolactone,T,0
2019,AK,4,Hydrochlorothiazide/Telmisartan,T,0
2019,AK,4,Hydrochlorothiazide/Triamterene,F,165
2019,AK,4,Hydrochlorothiazide/Triamterene,T,0
2019,AK,4,Hydrochlorothiazide/Valsartan,F,15
2019,AK,4,Hydrochlorothiazide/Valsartan,T,0
2019,AK,4,Indapamide,T,0
2019,AK,4,Irbesartan,F,136
2019,AK,4,Irbesartan,T,0
2019,AK,4,Labetalol Hydrochloride,F,152
2019,AK,4,Labetalol Hydrochloride,T,0
2019,AK,4,Lisinopril,F,5624
2019,AK,4,Lisinopril,T,0
2019,AK,4,Losartan Potassium,F,2118
2019,AK,4,Losartan Potassium,T,0
2019,AK,4,Macitentan,T,0
2019,AK,4,Methyldopa,T,0
2019,AK,4,Metolazone,F,13
2019,AK,4,Metolazone,T,0
2019,AK,4,Metoprolol Succinate,F,2429
2019,AK,4,Metoprolol Succinate,T,0
2019,AK,4,Metoprolol Tartrate,F,698
2019,AK,4,Metoprolol Tartrate,T,0
2019,AK,4,Minoxidil,T,0
2019,AK,4,Nadolol,F,83
2019,AK,4,Nadolol,T,0
2019,AK,4,Nebivolol Hydrochloride,F,434
2019,AK,4,Nifedipine,F,155
2019,AK,4,Nifedipine,T,0
2019,AK,4,Pindolol,T,0
2019,AK,4,Prazosin Hydrochloride,F,1548
2019,AK,4,Prazosin Hydrochloride,T,0
2019,AK,4,Propranolol Hydrochloride,F,1376
2019,AK,4,Propranolol Hydrochloride,T,0
2019,AK,4,Quinapril Hydrochloride,T,0
2019,AK,4,Ramipril,T,0
2019,AK,4,Sacubitril/Valsartan,F,203
2019,AK,4,Sacubitril/Valsartan,T,0
2019,AK,4,Sotalol Hydrochloride,T,0
2019,AK,4,Spironolactone,F,1170
2019,AK,4,Spironolactone,T,0
2019,AK,4,Telmisartan,F,53
2019,AK,4,Telmisartan,T,0
2019,AK,4,Tolvaptan;Tolvaptan,T,0
2019,AK,4,Torsemide,F,339
2019,AK,4,Torsemide,T,0
2019,AK,4,Trandolapril/Verapamil Hydrochloride,T,0
2019,AK,4,Valsartan,F,73
2019,AK,4,Valsartan,T,0
2019,AK,4,Verapamil Hydrochloride,F,105
2019,AK,4,Verapamil Hydrochloride,T,0
2019,AL,1,Acebutolol Hydrochloride,F,14
2019,AL,1,Acebutolol Hydrochloride,T,0
2019,AL,1,Aliskiren,T,0
2019,AL,1,Ambrisentan,F,36
2019,AL,1,Amiloride Hydrochloride,F,32
2019,AL,1,Amiloride Hydrochloride,T,0
2019,AL,1,Amiloride Hydrochloride/Hydrochlorothiazide,T,0
2019,AL,1,Amlodipine Besylate,F,15392
2019,AL,1,Amlodipine Besylate,T,0
2019,AL,1,Amlodipine Besylate/Benazepril Hydrochloride,F,406
2019,AL,1,Amlodipine Besylate/Benazepril Hydrochloride,T,0
2019,AL,1,Amlodipine Besylate/HCTZ/Olmesartan Medoxomil,F,19
2019,AL,1,Amlodipine Besylate/HCTZ/Olmesartan Medoxomil,T,0
2019,AL,1,Amlodipine Besylate/Hydrochlorothiazide/Valsartan,T,0
2019,AL,1,Amlodipine Besylate/Olmesartan Medoxomil,T,0
2019,AL,1,Amlodipine Besylate/Telmisartan,T,0
2019,AL,1,Amlodipine Besylate/Valsartan,T,0
2019,AL,1,Atenolol,F,2225
2019,AL,1,Atenolol,T,0
2019,AL,1,Atenolol/Chlorthalidone,F,181
2019,AL,1,Azilsartan Medoxomil/Chlorthalidone,T,0
2019,AL,1,Benazepril Hydrochloride,F,453
2019,AL,1,Benazepril Hydrochloride,T,0
2019,AL,1,Benazepril Hydrochloride/Hydrochlorothiazide,F,55
2019,AL,1,Benazepril Hydrochloride/Hydrochlorothiazide,T,0
2019,AL,1,Bisoprolol Fumarate,F,231
2019,AL,1,Bisoprolol Fumarate,T,0
2019,AL,1,Bisoprolol Fumarate/Hydrochlorothiazide,F,333
2019,AL,1,Bisoprolol Fumarate/Hydrochlorothiazide,T,0
2019,AL,1,Bosentan,T,0
2019,AL,1,Bumetanide,F,356
2019,AL,1,Bumetanide,T,0
2019,AL,1,Candesartan Cilexetil,T,0
2019,AL,1,Candesartan Cilexetil/Hydrochlorothiazide,T,0
2019,AL,1,Captopril,T,0
2019,AL,1,Captopril/Hydrochlorothiazide,T,0
2019,AL,1,Carvedilol,F,7033
2019,AL,1,Carvedilol,T,0
2019,AL,1,Carvedilol Phosphate,T,0
2019,AL,1,Chlorothiazide,F,154
2019,AL,1,Chlorothiazide,T,0
2019,AL,1,Chlorthalidone,F,1045
2019,AL,1,Chlorthalidone,T,0
2019,AL,1,Clonidine Hydrochloride,F,14796
2019,AL,1,Clonidine Hydrochloride,T,0
2019,AL,1,Diltiazem Hydrochloride,F,1060
2019,AL,1,Diltiazem Hydrochloride,T,0
2019,AL,1,Doxazosin Mesylate,F,224
2019,AL,1,Doxazosin Mesylate,T,0
2019,AL,1,Enalapril Maleate,F,553
2019,AL,1,Enalapril Maleate,T,0
2019,AL,1,Enalapril Maleate/Hydrochlorothiazide,F,70
2019,AL,1,Enalapril Maleate/Hydrochlorothiazide,T,0
2019,AL,1,Eplerenone,F,16
2019,AL,1,Eplerenone,T,0
2019,AL,1,Felodipine,T,0
2019,AL,1,Fosinopril Sodium,F,134
2019,AL,1,Fosinopril Sodium,T,0
2019,AL,1,Fosinopril Sodium/Hydrochlorothiazide,T,0
2019,AL,1,Furosemide,F,7633
2019,AL,1,Furosemide,T,0
2019,AL,1,Guanfacine Hydrochloride,F,17217
2019,AL,1,Guanfacine Hydrochloride,T,0
2019,AL,1,Hydralazine Hydrochloride,F,2155
2019,AL,1,Hydralazine Hydrochloride,T,0
2019,AL,1,Hydralazine Hydrochloride/Isosorbide Dinitrate,F,23
2019,AL,1,Hydrochlorothiazide,F,7039
2019,AL,1,Hydrochlorothiazide,T,0
2019,AL,1,Hydrochlorothiazide/Irbesartan,F,129
2019,AL,1,Hydrochlorothiazide/Irbesartan,T,0
2019,AL,1,Hydrochlorothiazide/Lisinopril,F,4815
2019,AL,1,Hydrochlorothiazide/Lisinopril,T,0
2019,AL,1,Hydrochlorothiazide/Losartan Potassium,F,3109
2019,AL,1,Hydrochlorothiazide/Losartan Potassium,T,0
2019,AL,1,Hydrochlorothiazide/Metoprolol Tartrate,T,0
2019,AL,1,Hydrochlorothiazide/Moexipril Hydrochloride,T,0
2019,AL,1,Hydrochlorothiazide/Propranolol Hydrochloride,T,0
2019,AL,1,Hydrochlorothiazide/Quinapril Hydrochloride,T,0
2019,AL,1,Hydrochlorothiazide/Spironolactone,F,78
2019,AL,1,Hydrochlorothiazide/Spironolactone,T,0
2019,AL,1,Hydrochlorothiazide/Telmisartan,T,0
2019,AL,1,Hydrochlorothiazide/Triamterene,F,980
2019,AL,1,Hydrochlorothiazide/Triamterene,T,0
2019,AL,1,Hydrochlorothiazide/Valsartan,F,149
2019,AL,1,Hydrochlorothiazide/Valsartan,T,0
