year,state,quarter,gennme,prodnme,suppression,totalRX
2019,AK,1,Hydrochlorothiazide/Losartan Potassium,LOSARTAN POTASSIUM-HYDROCHLOROTHIAZIDE,T,0
2019,AK,1,Hydrochlorothiazide/Metoprolol Tartrate,METOPROLOL TARTRATE/HYDROCHLOROTHIAZIDE,T,0
2019,AK,1,Hydrochlorothiazide/Propranolol Hydrochloride,PROPRANOLOL/HCTZ,T,0
2019,AK,1,Hydrochlorothiazide/Spironolactone,SPIRONOLACTONE-HYDROCHLOROTHIAZIDE,T,0
2019,AK,1,Hydrochlorothiazide/Telmisartan,TELMISARTAN/HYDROCHLOROTHIAZIDE,T,0
2019,AK,1,Hydrochlorothiazide/Triamterene,TRIAMTERENE/HYDROCHLOROTHIAZIDE,F,160
2019,AK,1,Hydrochlorothiazide/Triamterene,TRIAMTERENE/HYDROCHLOROTHIAZIDE,T,0
2019,AK,1,Hydrochlorothiazide/Valsartan,VALSARTAN/HYDROCHLOROTHIAZIDE,F,16
2019,AK,1,Hydrochlorothiazide/Valsartan,VALSARTAN/HYDROCHLOROTHIAZIDE,T,0
2019,AK,1,Indapamide,INDAPAMIDE,T,0
2019,AK,1,Irbesartan,IRBESARTAN,F,15
2019,AK,1,Irbesartan,IRBESARTAN,T,0
2019,AK,1,Labetalol Hydrochloride,LABETALOL HCL,F,183
2019,AK,1,Labetalol Hydrochloride,LABETALOL HCL,T,0
2019,AK,1,Lisinopril,LISINOPRIL,F,6281
2019,AK,1,Lisinopril,LISINOPRIL,T,0
2019,AK,1,Losartan Potassium,LOSARTAN POTASSIUM,F,2165
2019,AK,1,Losartan Potassium,LOSARTAN POTASSIUM,T,0
2019,AK,1,Macitentan,OPSUMIT,T,0
2019,AK,1,Methyldopa,METHYLDOPA,T,0
2019,AK,1,Metolazone,METOLAZONE,T,0
2019,AK,1,Metoprolol Succinate,METOPROLOL SUCCINATE,F,2279
2019,AK,1,Metoprolol Succinate,METOPROLOL SUCCINATE,T,0
2019,AK,1,Metoprolol Succinate,TOPROL XL,F,284
2019,AK,1,Metoprolol Succinate,TOPROL XL,T,0
2019,AK,1,Metoprolol Tartrate,METOPROLOL TARTRATE,F,693
2019,AK,1,Metoprolol Tartrate,METOPROLOL TARTRATE,T,0
2019,AK,1,Minoxidil,MINOXIDIL,T,0
2019,AK,1,Nadolol,NADOLOL,F,153
2019,AK,1,Nadolol,NADOLOL,T,0
2019,AK,1,Nebivolol Hydrochloride,BYSTOLIC,F,418
2019,AK,1,Nebivolol Hydrochloride,BYSTOLIC,T,0
2019,AK,1,Nifedipine,NIFEDIPINE,F,108
2019,AK,1,Nifedipine,NIFEDIPINE,T,0
2019,AK,1,Pindolol,PINDOLOL,T,0
2019,AK,1,Prazosin Hydrochloride,PRAZOSIN HCL,F,1536
2019,AK,1,Prazosin Hydrochloride,PRAZOSIN HCL,T,0
2019,AK,1,Propranolol Hydrochloride,INDERAL XL,T,0
2019,AK,1,Propranolol Hydrochloride,PROPRANOLOL HCL,F,1399
2019,AK,1,Propranolol Hydrochloride,PROPRANOLOL HCL,T,0
2019,AK,1,Propranolol Hydrochloride,PROPRANOLOL HCL AVPAK,T,0
2019,AK,1,Quinapril Hydrochloride,QUINAPRIL,T,0
2019,AK,1,Ramipril,RAMIPRIL,T,0
2019,AK,1,Sacubitril/Valsartan,ENTRESTO,F,134
2019,AK,1,Sacubitril/Valsartan,ENTRESTO,T,0
2019,AK,1,Sotalol Hydrochloride,SOTALOL HCL,T,0
2019,AK,1,Sotalol Hydrochloride,SOTYLIZE,T,0
2019,AK,1,Spironolactone,CAROSPIR,T,0
2019,AK,1,Spironolactone,SPIRONOLACTONE,F,1200
2019,AK,1,Spironolactone,SPIRONOLACTONE,T,0
2019,AK,1,Telmisartan,MICARDIS,T,0
2019,AK,1,Telmisartan,TELMISARTAN,F,13
2019,AK,1,Telmisartan,TELMISARTAN,T,0
2019,AK,1,Tolvaptan;Tolvaptan,JYNARQUE 45/15,T,0
2019,AK,1,Torsemide,TORSEMIDE,F,214
2019,AK,1,Torsemide,TORSEMIDE,T,0
2019,AK,1,Trandolapril/Verapamil Hydrochloride,TRANDOLAPRIL/VERAPAMIL HCL,T,0
2019,AK,1,Valsartan,VALSARTAN,F,65
2019,AK,1,Valsartan,VALSARTAN,T,0
2019,AK,1,Verapamil Hydrochloride,VERAPAMIL HCL,F,89
2019,AK,1,Verapamil Hydrochloride,VERAPAMIL HCL,T,0
2019,AK,2,Acebutolol Hydrochloride,ACEBUTOLOL HCL,T,0
2019,AK,2,Aliskiren,ALISKIREN,T,0
2019,AK,2,Aliskiren/Hydrochlorothiazide,TEKTURNA HCT,T,0
2019,AK,2,Ambrisentan,AMBRISENTAN,T,0
2019,AK,2,Ambrisentan,LETAIRIS,T,0
2019,AK,2,Amiloride Hydrochloride,AMILORIDE HCL,F,20
2019,AK,2,Amiloride Hydrochloride,AMILORIDE HCL,T,0
2019,AK,2,Amiloride Hydrochloride/Hydrochlorothiazide,AMILORIDE HCL/HYDROCHLOROTHIAZIDE,T,0
2019,AK,2,Amlodipine Besylate,AMLODIPINE BESYLATE,F,2508
2019,AK,2,Amlodipine Besylate,AMLODIPINE BESYLATE,T,0
2019,AK,2,Amlodipine Besylate/Benazepril Hydrochloride,AMLODIPINE BESYLATE-BENAZEPRIL HCL,F,45
2019,AK,2,Amlodipine Besylate/Benazepril Hydrochloride,AMLODIPINE BESYLATE-BENAZEPRIL HCL,T,0
2019,AK,2,Amlodipine Besylate/HCTZ/Olmesartan Medoxomil,AMLODIPINE BESYLATE-HCTZ-OLMESARTAN MEDOXOMIL,T,0
2019,AK,2,Amlodipine Besylate/Hydrochlorothiazide/Valsartan,AMLODIPINE-VALSARTAN-HYDROCHLOROTHIAZIDE,T,0
2019,AK,2,Amlodipine Besylate/Olmesartan Medoxomil,AMLODIPINE BESYLATE-OLMESARTAN MEDOXOMIL,T,0
2019,AK,2,Amlodipine Besylate/Telmisartan,TELMISARTAN-AMLODIPINE BESYLATE,T,0
2019,AK,2,Amlodipine Besylate/Valsartan,AMLODIPINE BESYLATE-VALSARTAN,T,0
2019,AK,2,Atenolol,ATENOLOL,F,691
2019,AK,2,Atenolol,ATENOLOL,T,0
2019,AK,2,Atenolol/Chlorthalidone,ATENOLOL-CHLORTHALIDONE,T,0
2019,AK,2,Azilsartan Medoxomil/Chlorthalidone,EDARBYCLOR,T,0
2019,AK,2,Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,T,0
2019,AK,2,Benazepril Hydrochloride/Hydrochlorothiazide,BENAZEPRIL HCL/HYDROCHLOROTHIAZIDE,T,0
2019,AK,2,Bisoprolol Fumarate,BISOPROLOL FUMARATE,F,80
2019,AK,2,Bisoprolol Fumarate,BISOPROLOL FUMARATE,T,0
2019,AK,2,Bisoprolol Fumarate/Hydrochlorothiazide,BISOPROLOL FUMARATE/HYDROCHLOROTHIAZIDE,F,31
2019,AK,2,Bisoprolol Fumarate/Hydrochlorothiazide,BISOPROLOL FUMARATE/HYDROCHLOROTHIAZIDE,T,0
2019,AK,2,Bumetanide,BUMETANIDE,T,0
2019,AK,2,Candesartan Cilexetil,CANDESARTAN CILEXETIL,T,0
2019,AK,2,Candesartan Cilexetil/Hydrochlorothiazide,CANDESARTAN CILEXETIL-HYDROCHLOROTHIAZIDE,T,0
2019,AK,2,Captopril,CAPTOPRIL,T,0
2019,AK,2,Carvedilol,CARVEDILOL,F,1137
2019,AK,2,Carvedilol,CARVEDILOL,T,0
2019,AK,2,Carvedilol Phosphate,CARVEDILOL,F,62
2019,AK,2,Carvedilol Phosphate,CARVEDILOL,T,0
2019,AK,2,Carvedilol Phosphate,COREG CR,F,20
2019,AK,2,Carvedilol Phosphate,COREG CR,T,0
2019,AK,2,Chlorothiazide,DIURIL,T,0
2019,AK,2,Chlorthalidone,CHLORTHALIDONE,F,390
2019,AK,2,Chlorthalidone,CHLORTHALIDONE,T,0
2019,AK,2,Clonidine Hydrochloride,CLONIDINE HCL,F,2232
2019,AK,2,Clonidine Hydrochloride,CLONIDINE HCL,T,0
2019,AK,2,Diltiazem Hydrochloride,CARDIZEM LA,T,0
2019,AK,2,Diltiazem Hydrochloride,CARTIA XT,F,50
2019,AK,2,Diltiazem Hydrochloride,CARTIA XT,T,0
2019,AK,2,Diltiazem Hydrochloride,DILT-XR,T,0
2019,AK,2,Diltiazem Hydrochloride,DILTIAZEM HCL,F,257
2019,AK,2,Diltiazem Hydrochloride,DILTIAZEM HCL,T,0
2019,AK,2,Diltiazem Hydrochloride,DILTIAZEM HCL CD,T,0
2019,AK,2,Diltiazem Hydrochloride,TAZTIA XT,T,0
2019,AK,2,Doxazosin Mesylate,DOXAZOSIN,F,18
2019,AK,2,Doxazosin Mesylate,DOXAZOSIN MESYLATE,F,40
2019,AK,2,Doxazosin Mesylate,DOXAZOSIN MESYLATE,T,0
2019,AK,2,Enalapril Maleate,ENALAPRIL MALEATE,F,20
2019,AK,2,Enalapril Maleate,ENALAPRIL MALEATE,T,0
2019,AK,2,Enalapril Maleate,EPANED,F,26
2019,AK,2,Enalapril Maleate/Hydrochlorothiazide,ENALAPRIL MALEATE-HYDROCHLOROTHIAZIDE,T,0
2019,AK,2,Enalapril Maleate/Hydrochlorothiazide,ENALAPRIL/HCTZ,T,0
2019,AK,2,Eplerenone,EPLERENONE,F,53
2019,AK,2,Eplerenone,EPLERENONE,T,0
2019,AK,2,Felodipine,FELODIPINE,T,0
2019,AK,2,Fosinopril Sodium,FOSINOPRIL SODIUM,T,0
2019,AK,2,Furosemide,FUROSEMIDE,F,1615
2019,AK,2,Furosemide,FUROSEMIDE,T,0
2019,AK,2,Furosemide,PREMIERPRO RX FUROSEMIDE,T,0
2019,AK,2,Guanfacine Hydrochloride,GUANFACINE HCL,F,1922
2019,AK,2,Guanfacine Hydrochloride,GUANFACINE HCL,T,0
2019,AK,2,Hydralazine Hydrochloride,HYDRALAZINE HCL,F,129
2019,AK,2,Hydralazine Hydrochloride,HYDRALAZINE HCL,T,0
2019,AK,2,Hydralazine Hydrochloride/Isosorbide Dinitrate,BIDIL,T,0
2019,AK,2,Hydrochlorothiazide,HYDROCHLOROTHIAZIDE,F,1703
2019,AK,2,Hydrochlorothiazide,HYDROCHLOROTHIAZIDE,T,0
2019,AK,2,Hydrochlorothiazide/Irbesartan,IRBESARTAN/HYDROCHLOROTHIAZIDE,T,0
2019,AK,2,Hydrochlorothiazide/Lisinopril,LISINOPRIL/HYDROCHLOROTHIAZIDE,F,590
2019,AK,2,Hydrochlorothiazide/Lisinopril,LISINOPRIL/HYDROCHLOROTHIAZIDE,T,0
2019,AK,2,Hydrochlorothiazide/Losartan Potassium,LOSARTAN POTASSIUM-HYDROCHLOROTHIAZIDE,F,107
2019,AK,2,Hydrochlorothiazide/Losartan Potassium,LOSARTAN POTASSIUM-HYDROCHLOROTHIAZIDE,T,0
2019,AK,2,Hydrochlorothiazide/Metoprolol Tartrate,METOPROLOL TARTRATE/HYDROCHLOROTHIAZIDE,T,0
2019,AK,2,Hydrochlorothiazide/Spironolactone,ALDACTAZIDE,T,0
2019,AK,2,Hydrochlorothiazide/Spironolactone,SPIRONOLACTONE-HYDROCHLOROTHIAZIDE,T,0
2019,AK,2,Hydrochlorothiazide/Telmisartan,TELMISARTAN/HYDROCHLOROTHIAZIDE,F,12
2019,AK,2,Hydrochlorothiazide/Telmisartan,TELMISARTAN/HYDROCHLOROTHIAZIDE,T,0
2019,AK,2,Hydrochlorothiazide/Triamterene,TRIAMTERENE/HYDROCHLOROTHIAZIDE,F,162
2019,AK,2,Hydrochlorothiazide/Triamterene,TRIAMTERENE/HYDROCHLOROTHIAZIDE,T,0
2019,AK,2,Hydrochlorothiazide/Valsartan,VALSARTAN/HYDROCHLOROTHIAZIDE,T,0
2019,AK,2,Indapamide,INDAPAMIDE,T,0
2019,AK,2,Irbesartan,IRBESARTAN,F,65
2019,AK,2,Irbesartan,IRBESARTAN,T,0
2019,AK,2,Labetalol Hydrochloride,LABETALOL HCL,F,197
2019,AK,2,Labetalol Hydrochloride,LABETALOL HCL,T,0
2019,AK,2,Lisinopril,LISINOPRIL,F,6328
2019,AK,2,Lisinopril,LISINOPRIL,T,0
2019,AK,2,Losartan Potassium,LOSARTAN POTASSIUM,F,2245
2019,AK,2,Losartan Potassium,LOSARTAN POTASSIUM,T,0
2019,AK,2,Macitentan,OPSUMIT,T,0
2019,AK,2,Methyldopa,METHYLDOPA,T,0
2019,AK,2,Metolazone,METOLAZONE,F,13
2019,AK,2,Metolazone,METOLAZONE,T,0
2019,AK,2,Metoprolol Succinate,METOPROLOL SUCCINATE,F,2333
2019,AK,2,Metoprolol Succinate,METOPROLOL SUCCINATE,T,0
2019,AK,2,Metoprolol Succinate,TOPROL XL,F,312
2019,AK,2,Metoprolol Succinate,TOPROL XL,T,0
2019,AK,2,Metoprolol Tartrate,METOPROLOL TARTRATE,F,787
2019,AK,2,Metoprolol Tartrate,METOPROLOL TARTRATE,T,0
2019,AK,2,Minoxidil,MINOXIDIL,T,0
2019,AK,2,Nadolol,NADOLOL,F,126
2019,AK,2,Nadolol,NADOLOL,T,0
2019,AK,2,Nebivolol Hydrochloride,BYSTOLIC,F,450
2019,AK,2,Nebivolol Hydrochloride,BYSTOLIC,T,0
2019,AK,2,Nifedipine,NIFEDIPINE,F,112
2019,AK,2,Nifedipine,NIFEDIPINE,T,0
2019,AK,2,Prazosin Hydrochloride,PRAZOSIN HCL,F,1579
2019,AK,2,Prazosin Hydrochloride,PRAZOSIN HCL,T,0
2019,AK,2,Propranolol Hydrochloride,INDERAL XL,T,0
2019,AK,2,Propranolol Hydrochloride,PROPRANOLOL HCL,F,1468
2019,AK,2,Propranolol Hydrochloride,PROPRANOLOL HCL,T,0
2019,AK,2,Propranolol Hydrochloride,PROPRANOLOL HCL AVPAK,T,0
2019,AK,2,Quinapril Hydrochloride,QUINAPRIL,T,0
2019,AK,2,Ramipril,RAMIPRIL,T,0
2019,AK,2,Sacubitril/Valsartan,ENTRESTO,F,159
2019,AK,2,Sacubitril/Valsartan,ENTRESTO,T,0
2019,AK,2,Sotalol Hydrochloride,SOTALOL HCL,T,0
2019,AK,2,Sotalol Hydrochloride,SOTYLIZE,T,0
2019,AK,2,Spironolactone,CAROSPIR,T,0
2019,AK,2,Spironolactone,SPIRONOLACTONE,F,1243
2019,AK,2,Spironolactone,SPIRONOLACTONE,T,0
2019,AK,2,Telmisartan,MICARDIS,T,0
2019,AK,2,Telmisartan,TELMISARTAN,F,25
2019,AK,2,Telmisartan,TELMISARTAN,T,0
2019,AK,2,Tolvaptan;Tolvaptan,JYNARQUE 45/15,T,0
2019,AK,2,Tolvaptan;Tolvaptan,JYNARQUE 60/30,T,0
2019,AK,2,Tolvaptan;Tolvaptan,JYNARQUE 90/30,T,0
2019,AK,2,Torsemide,TORSEMIDE,F,284
2019,AK,2,Torsemide,TORSEMIDE,T,0
2019,AK,2,Trandolapril/Verapamil Hydrochloride,TRANDOLAPRIL/VERAPAMIL HCL,T,0
2019,AK,2,Valsartan,VALSARTAN,F,89
2019,AK,2,Valsartan,VALSARTAN,T,0
2019,AK,2,Verapamil Hydrochloride,VERAPAMIL HCL,F,113
2019,AK,2,Verapamil Hydrochloride,VERAPAMIL HCL,T,0
2019,AK,3,Acebutolol Hydrochloride,ACEBUTOLOL HCL,F,14
2019,AK,3,Aliskiren/Hydrochlorothiazide,TEKTURNA HCT,T,0
2019,AK,3,Ambrisentan,AMBRISENTAN,T,0
2019,AK,3,Ambrisentan,LETAIRIS,T,0
2019,AK,3,Amiloride Hydrochloride,AMILORIDE HCL,F,24
2019,AK,3,Amiloride Hydrochloride,AMILORIDE HCL,T,0
2019,AK,3,Amiloride Hydrochloride/Hydrochlorothiazide,AMILORIDE HCL/HYDROCHLOROTHIAZIDE,T,0
2019,AK,3,Amlodipine Besylate,AMLODIPINE BESYLATE,F,2345
2019,AK,3,Amlodipine Besylate,AMLODIPINE BESYLATE,T,0
2019,AK,3,Amlodipine Besylate/Benazepril Hydrochloride,AMLODIPINE BESYLATE-BENAZEPRIL HCL,F,52
2019,AK,3,Amlodipine Besylate/Benazepril Hydrochloride,AMLODIPINE BESYLATE-BENAZEPRIL HCL,T,0
2019,AK,3,Amlodipine Besylate/HCTZ/Olmesartan Medoxomil,AMLODIPINE BESYLATE-HCTZ-OLMESARTAN MEDOXOMIL,T,0
2019,AK,3,Amlodipine Besylate/Hydrochlorothiazide/Valsartan,AMLODIPINE-VALSARTAN-HYDROCHLOROTHIAZIDE,T,0
2019,AK,3,Amlodipine Besylate/Olmesartan Medoxomil,AMLODIPINE BESYLATE-OLMESARTAN MEDOXOMIL,T,0
2019,AK,3,Amlodipine Besylate/Telmisartan,TELMISARTAN-AMLODIPINE BESYLATE,T,0
2019,AK,3,Amlodipine Besylate/Valsartan,AMLODIPINE BESYLATE-VALSARTAN,F,13
2019,AK,3,Amlodipine Besylate/Valsartan,AMLODIPINE BESYLATE-VALSARTAN,T,0
2019,AK,3,Atenolol,ATENOLOL,F,647
2019,AK,3,Atenolol,ATENOLOL,T,0
2019,AK,3,Atenolol/Chlorthalidone,ATENOLOL-CHLORTHALIDONE,T,0
2019,AK,3,Azilsartan Medoxomil/Chlorthalidone,EDARBYCLOR,T,0
2019,AK,3,Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,F,13
2019,AK,3,Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,T,0
2019,AK,3,Benazepril Hydrochloride/Hydrochlorothiazide,BENAZEPRIL HCL/HYDROCHLOROTHIAZIDE,T,0
2019,AK,3,Bisoprolol Fumarate,BISOPROLOL FUMARATE,F,60
2019,AK,3,Bisoprolol Fumarate,BISOPROLOL FUMARATE,T,0
2019,AK,3,Bisoprolol Fumarate/Hydrochlorothiazide,BISOPROLOL FUMARATE/HYDROCHLOROTHIAZIDE,F,34
2019,AK,3,Bisoprolol Fumarate/Hydrochlorothiazide,BISOPROLOL FUMARATE/HYDROCHLOROTHIAZIDE,T,0
2019,AK,3,Bumetanide,BUMETANIDE,T,0
2019,AK,3,Candesartan Cilexetil,CANDESARTAN CILEXETIL,T,0
2019,AK,3,Candesartan Cilexetil/Hydrochlorothiazide,CANDESARTAN CILEXETIL-HYDROCHLOROTHIAZIDE,T,0
2019,AK,3,Captopril,CAPTOPRIL,T,0
2019,AK,3,Carvedilol,CARVEDILOL,F,1074
2019,AK,3,Carvedilol,CARVEDILOL,T,0
2019,AK,3,Carvedilol Phosphate,CARVEDILOL,F,73
2019,AK,3,Carvedilol Phosphate,CARVEDILOL,T,0
2019,AK,3,Carvedilol Phosphate,COREG CR,F,20
2019,AK,3,Carvedilol Phosphate,COREG CR,T,0
2019,AK,3,Chlorothiazide,DIURIL,T,0
2019,AK,3,Chlorthalidone,CHLORTHALIDONE,F,333
2019,AK,3,Chlorthalidone,CHLORTHALIDONE,T,0
2019,AK,3,Clonidine Hydrochloride,CLONIDINE HCL,F,2107
2019,AK,3,Clonidine Hydrochloride,CLONIDINE HCL,T,0
2019,AK,3,Diltiazem Hydrochloride,CARDIZEM LA,T,0
2019,AK,3,Diltiazem Hydrochloride,CARTIA XT,F,51
2019,AK,3,Diltiazem Hydrochloride,CARTIA XT,T,0
2019,AK,3,Diltiazem Hydrochloride,DILT-XR,F,12
2019,AK,3,Diltiazem Hydrochloride,DILT-XR,T,0
2019,AK,3,Diltiazem Hydrochloride,DILTIAZEM HCL,F,201
2019,AK,3,Diltiazem Hydrochloride,DILTIAZEM HCL,T,0
2019,AK,3,Doxazosin Mesylate,DOXAZOSIN,T,0
2019,AK,3,Doxazosin Mesylate,DOXAZOSIN MESYLATE,F,49
2019,AK,3,Doxazosin Mesylate,DOXAZOSIN MESYLATE,T,0
2019,AK,3,Enalapril Maleate,ENALAPRIL MALEATE,F,31
2019,AK,3,Enalapril Maleate,ENALAPRIL MALEATE,T,0
2019,AK,3,Enalapril Maleate,EPANED,F,28
2019,AK,3,Enalapril Maleate/Hydrochlorothiazide,ENALAPRIL/HCTZ,T,0
2019,AK,3,Eplerenone,EPLERENONE,F,29
2019,AK,3,Eplerenone,EPLERENONE,T,0
2019,AK,3,Felodipine,FELODIPINE,T,0
2019,AK,3,Fosinopril Sodium,FOSINOPRIL SODIUM,T,0
2019,AK,3,Furosemide,FUROSEMIDE,F,1595
2019,AK,3,Furosemide,FUROSEMIDE,T,0
2019,AK,3,Furosemide,PREMIERPRO RX FUROSEMIDE,T,0
2019,AK,3,Guanfacine Hydrochloride,GUANFACINE HCL,F,1764
2019,AK,3,Guanfacine Hydrochloride,GUANFACINE HCL,T,0
2019,AK,3,Hydralazine Hydrochloride,HYDRALAZINE HCL,F,94
2019,AK,3,Hydralazine Hydrochloride,HYDRALAZINE HCL,T,0
2019,AK,3,Hydrochlorothiazide,HYDROCHLOROTHIAZIDE,F,1612
2019,AK,3,Hydrochlorothiazide,HYDROCHLOROTHIAZIDE,T,0
2019,AK,3,Hydrochlorothiazide/Irbesartan,IRBESARTAN/HYDROCHLOROTHIAZIDE,T,0
2019,AK,3,Hydrochlorothiazide/Lisinopril,LISINOPRIL/HYDROCHLOROTHIAZIDE,F,595
